a_title,b_color,c_total_price,d_discount,e_discount_price,f_image_link
Blue Bead Kundan Earring Necklace Set,blue, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00050/1.jpg
Dual Gold Kundan Pearl Earring Necklace Set,red, 4000," 50%,OFF", 2000,https://img.faballey.com/Images/Product/ZNS00056/1.jpg
Gold Kundan Pear Dainty Drop Earrings Necklace Set,white, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00046/1.jpg
Gold Kundan Dual Pearl Earring Necklace Set,white, 4000," 50%,OFF", 2000,https://img.faballey.com/Images/Product/ZNS00052/1.jpg
Gold Kundan Cascade Earring Necklace Set,white, 4500," 50%,OFF", 2250,https://img.faballey.com/Images/Product/ZNS00039/1.jpg
Gold Leaf Kundan Double Pearl Earrings Necklace Set,white, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00045/1.jpg
Rose Gold Plated Crystal Necklace Set,white, 4900," 50%,OFF", 2450,https://img.faballey.com/Images/Product/ZNS00064/1.jpg
Gold Kundan Green Drop Double Orb Earring Necklace Set,green, 4500," 50%,OFF", 2250,https://img.faballey.com/Images/Product/ZNS00038/1.jpg
Gold Round Kundan Pearl Earring Necklace Set,white, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00035/1.jpg
Dual Gold Kundan Green Bead Earring Necklace Set,pink, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00055/1.jpg
White Blue Diamond Earring Pendant Necklace Set,blue, 5250," 50%,OFF", 2625,https://img.faballey.com/Images/Product/ZNS00011/1.jpg
Silver Oxidized Green Stone Star Earring Necklace Set,green, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00021/1.jpg
Gold Kundan Red Drop Meena Earring Necklace Set,red, 4500," 50%,OFF", 2250,https://img.faballey.com/Images/Product/ZNS00054/1.jpg
Gold Kundan Tukdi Earring Necklace Set,white, 5000," 50%,OFF", 2500,https://img.faballey.com/Images/Product/ZNS00007/1.jpg
Gold Kundan Blue Bead Earring Necklace Set,blue, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00041/1.jpg
Gold Orb Kundan Double Pearl Earrings Necklace Set,white, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00051/1.jpg
Gold Kundan Red White Bead Earrimg Necklace Set,red," 3500,Sold Out"," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00036/1.jpg
Green Enamal Kundan Petal Earring Necklace Set,green," 3500,Sold Out"," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00024/1.jpg
Gold Bead Cluster Earring Neckace Set,gold," 3600,Sold Out"," 50%,OFF", 1800,https://img.faballey.com/Images/Product/ZNS00034/1.jpg
Gold Kundan Pearl Drop Earring Necklace Set,red," 3500,Sold Out"," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00040/1.jpg
Green Bead Kundan Earring Necklace Set,green," 3500,Sold Out"," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00043/1.jpg
Multi Gold Kundan Red Meena Beaded Earring Necklace Set,red," 3500,Sold Out"," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00057/1.jpg
Gold Kundan Pearl Drop Earring Necklace Set,White," 4750,Sold Out"," 50%,OFF", 2375,https://img.faballey.com/Images/Product/ZNS00017/1.jpg
Gold Kundan Single Orb Earring Necklace Set,white," 5800,Sold Out"," 50%,OFF", 2900,https://img.faballey.com/Images/Product/ZNS00010/1.jpg
Dual Toned Oxidized Triangular Earrings Necklace Set,silver," 3800,Sold Out"," 50%,OFF", 1900,https://img.faballey.com/Images/Product/ZNS00020/1.jpg
